CCTV_ID,행정동,설치주소,위도,경도,설치연도,화소,촬영방향,야간성능,설치목적
CV001,가온동,한빛구 가온동 4로 88,37.554558,127.048537,2015,41만,공원,미흡,교통
CV002,가온동,한빛구 가온동 18로 81,37.55446,127.04782,2016,100만,골목,미흡,어린이보호
CV003,가온동,한빛구 가온동 40로 68,37.551602,127.044041,2014,100만,주차장,미흡,교통
CV004,가온동,한빛구 가온동 15로 48,37.551151,127.048375,2016,100만,도로,미흡,방범
CV005,가온동,한빛구 가온동 29로 10,37.555326,127.046784,2020,200만,공원,보통,어린이보호
CV006,가온동,한빛구 가온동 25로 58,37.553747,127.048042,2014,100만,도로,미흡,어린이보호
CV007,가온동,한빛구 가온동 3로 31,37.550307,127.050721,2023,400만,주차장,보통,어린이보호
CV008,가온동,한빛구 가온동 23로 31,37.555983,127.049193,2023,400만,골목,양호,쓰레기단속
CV009,가온동,한빛구 가온동 3로 1,37.558292,127.045609,2014,100만,교차로,미흡,교통
CV010,나래동,한빛구 나래동 31로 45,37.563633,127.055036,2023,400만,공원,양호,방범
CV011,나래동,한빛구 나래동 16로 20,37.555391,127.054264,2019,200만,주차장,양호,쓰레기단속
CV012,나래동,한빛구 나래동 25로 41,37.561099,127.052811,2022,200만,교차로,보통,방범
CV013,나래동,한빛구 나래동 27로 69,37.56183,127.052788,2020,200만,교차로,양호,교통
CV014,나래동,한빛구 나래동 31로 58,37.559749,127.059859,2023,400만,골목,보통,어린이보호
CV015,나래동,한빛구 나래동 40로 77,37.558799,127.047086,2023,200만,공원,양호,쓰레기단속
CV016,라온동,한빛구 라온동 1로 9,37.569977,127.044354,2023,200만,골목,양호,어린이보호
CV017,라온동,한빛구 라온동 22로 5,37.565166,127.046925,2024,200만,공원,보통,교통
CV018,라온동,한빛구 라온동 10로 3,37.565381,127.044583,2019,400만,교차로,양호,방범
CV019,라온동,한빛구 라온동 12로 20,37.568123,127.039805,2020,400만,교차로,보통,어린이보호
CV020,라온동,한빛구 라온동 20로 55,37.561117,127.040176,2023,400만,주차장,보통,교통
CV021,라온동,한빛구 라온동 31로 65,37.561241,127.042159,2020,400만,골목,양호,교통
CV022,바다동,한빛구 바다동 25로 90,37.565366,127.068273,2019,400만,공원,양호,방범
CV023,바다동,한빛구 바다동 24로 73,37.558051,127.069783,2019,200만,도로,양호,쓰레기단속
CV024,바다동,한빛구 바다동 14로 52,37.560452,127.061852,2023,400만,교차로,보통,방범
CV025,바다동,한빛구 바다동 8로 16,37.56547,127.06974,2022,400만,골목,보통,방범
CV026,새벽동,한빛구 새벽동 15로 84,37.54921,127.053023,2019,200만,도로,양호,방범
CV027,새벽동,한빛구 새벽동 20로 13,37.547728,127.049279,2020,200만,교차로,양호,어린이보호
CV028,새벽동,한빛구 새벽동 40로 74,37.547701,127.047196,2024,200만,주차장,양호,교통
CV029,다솜동,한빛구 다솜동 10로 19,37.541944,127.059708,2024,400만,공원,양호,쓰레기단속
CV030,마루동,한빛구 마루동 40로 64,37.550804,127.038288,2024,400만,공원,보통,어린이보호
