CCTV번호,행정동,설치위치,위도,경도,설치연도,화소(만),촬영방향,야간성능,관리부서
CC001,별빛동,재래시장 인근 교차로,37.5553,126.91485,2015,41,차도,미흡,안전도시과
CC002,별빛동,원룸촌 인근 교차로,37.5443,126.92745,2015,41,차도,미흡,안전도시과
CC003,별빛동,근린공원 인근 교차로,37.5522,126.93075,2015,41,차도,미흡,안전도시과
CC004,별빛동,별빛동 간선도로 1구간,37.5615,126.9068,2019,41,교차로,보통,안전도시과
CC005,별빛동,별빛동 간선도로 2구간,37.5352,126.9361,2016,100,차도,미흡,안전도시과
CC006,별빛동,별빛동 간선도로 3구간,37.5628,126.9343,2015,100,차도,미흡,안전도시과
CC007,별빛동,별빛동 간선도로 4구간,37.5325,126.9084,2014,41,차도,미흡,안전도시과
CC008,별빛동,별빛동 간선도로 5구간,37.5601,126.9368,2019,200,차도,보통,안전도시과
CC009,별빛동,별빛동 간선도로 6구간,37.5337,126.9329,2015,41,교차로,보통,안전도시과
CC010,노을동,노을동 1번 지점,37.531,126.8815,2016,200,공원,보통,환경위생과
CC011,노을동,노을동 2번 지점,37.531,126.8867,2020,100,보행로,양호,환경위생과
CC012,노을동,노을동 3번 지점,37.531,126.8919,2014,100,보행로,양호,환경위생과
CC013,노을동,노을동 4번 지점,37.531,126.8971,2020,200,보행로,보통,환경위생과
CC014,물결동,물결동 1번 지점,37.5235,126.926,2022,100,보행로,양호,환경위생과
CC015,물결동,물결동 2번 지점,37.5235,126.9312,2014,200,교차로,미흡,안전도시과
CC016,물결동,물결동 3번 지점,37.5235,126.9364,2022,41,보행로,미흡,환경위생과
CC017,물결동,물결동 4번 지점,37.5235,126.9416,2020,200,보행로,양호,환경위생과
CC018,숲길동,숲길동 1번 지점,37.546,126.892,2014,200,차도,양호,안전도시과
CC019,숲길동,숲길동 2번 지점,37.546,126.8972,2022,200,차도,양호,안전도시과
CC020,숲길동,숲길동 3번 지점,37.546,126.9024,2018,200,교차로,보통,안전도시과
CC021,들녘동,들녘동 1번 지점,37.518,126.916,2022,41,보행로,미흡,환경위생과
CC022,들녘동,들녘동 2번 지점,37.518,126.9212,2018,41,보행로,미흡,환경위생과
CC023,들녘동,들녘동 3번 지점,37.518,126.9264,2014,200,보행로,미흡,환경위생과
CC024,들녘동,들녘동 4번 지점,37.518,126.9316,2016,41,차도,미흡,안전도시과
CC025,바람동,바람동 1번 지점,37.51,126.902,2020,41,보행로,양호,환경위생과
CC026,바람동,바람동 2번 지점,37.51,126.9072,2016,200,차도,미흡,안전도시과
CC027,바람동,바람동 3번 지점,37.51,126.9124,2020,100,공원,보통,환경위생과
CC028,햇살동,햇살동 1번 지점,37.5395,126.909,2018,41,보행로,보통,환경위생과
CC029,햇살동,햇살동 2번 지점,37.5395,126.9142,2020,100,교차로,양호,안전도시과
CC030,햇살동,햇살동 3번 지점,37.5395,126.9194,2022,200,보행로,양호,환경위생과
