연번,사고유형,행정동,발생연도,사상자수,심각도,위도,경도,시간대
1,어린이 보행자 사고,다솜동,2024,1,경상,37.547862,127.060852,13-15
2,어린이 보행자 사고,다솜동,2025,1,경상,37.546712,127.062323,15-17
3,어린이 보행자 사고,다솜동,2025,2,경상,37.545034,127.058649,15-17
4,어린이 보행자 사고,다솜동,2023,2,중상,37.545098,127.060921,13-15
5,어린이 보행자 사고,다솜동,2023,1,경상,37.545663,127.058796,13-15
6,어린이 보행자 사고,다솜동,2025,2,중상,37.546188,127.061258,07-09
7,어린이 보행자 사고,다솜동,2024,1,경상,37.545572,127.06007,07-09
8,어린이 보행자 사고,가온동,2023,1,경상,37.554537,127.044536,17-19
9,어린이 보행자 사고,가온동,2023,1,경상,37.554399,127.048684,15-17
10,어린이 보행자 사고,가온동,2024,2,경상,37.552047,127.04057,07-09
11,어린이 보행자 사고,가온동,2024,1,중상,37.552527,127.048621,07-09
12,어린이 보행자 사고,가온동,2025,1,경상,37.55508,127.047701,15-17
13,어린이 보행자 사고,가온동,2025,1,중상,37.551427,127.048923,15-17
14,어린이 보행자 사고,라온동,2025,1,경상,37.565766,127.045007,17-19
15,어린이 보행자 사고,라온동,2024,1,경상,37.561344,127.042699,07-09
16,어린이 보행자 사고,라온동,2024,1,경상,37.562188,127.039072,13-15
17,어린이 보행자 사고,라온동,2024,1,경상,37.564036,127.045945,07-09
18,어린이 보행자 사고,나래동,2023,1,중상,37.560216,127.055342,17-19
19,어린이 보행자 사고,나래동,2025,2,중상,37.554668,127.056647,13-15
20,어린이 보행자 사고,나래동,2023,1,경상,37.560985,127.054836,07-09
21,어린이 보행자 사고,새벽동,2024,1,경상,37.539315,127.055534,15-17
22,어린이 보행자 사고,새벽동,2025,1,경상,37.5436,127.049464,15-17
23,어린이 보행자 사고,바다동,2025,1,경상,37.557747,127.068955,17-19
24,어린이 보행자 사고,바다동,2025,1,경상,37.559684,127.073087,13-15
