"번호","문화시설명","주제분류","주소","자치구","위도","경도","전화번호","유무료"
"1","예시시설 001","생활문화센터","서울특별시 종로구 (예시 주소)","종로구","37.567501","126.982163","02-0000-0000","유료"
"2","예시시설 002","도서관","서울특별시 종로구 (예시 주소)","종로구","37.574517","126.984763","02-0000-0000","유료"
"3","예시시설 003","문화원","서울특별시 종로구 (예시 주소)","종로구","37.571559","126.974256","02-0000-0000","무료"
"4","예시시설 004","생활문화센터","서울특별시 중구 (예시 주소)","중구","37.578051","126.99587","02-0000-0000","무료"
"5","예시시설 005","미술관","서울특별시 중구 (예시 주소)","중구","37.590389","126.994954","02-0000-0000","무료"
"6","예시시설 006","미술관","서울특별시 중구 (예시 주소)","중구","37.56849","126.996846","02-0000-0000","무료"
"7","예시시설 007","문화원","서울특별시 용산구 (예시 주소)","용산구","37.539109","126.997004","02-0000-0000","무료"
"8","예시시설 008","생활문화센터","서울특별시 용산구 (예시 주소)","용산구","37.529304","126.997318","02-0000-0000","무료"
"9","예시시설 009","박물관","서울특별시 용산구 (예시 주소)","용산구","37.526614","126.972934","02-0000-0000","유료"
"10","예시시설 010","도서관","서울특별시 용산구 (예시 주소)","용산구","37.531407","126.994919","02-0000-0000","유료"
"11","예시시설 011","생활문화센터","서울특별시 성동구 (예시 주소)","성동구","37.564419","127.053608","02-0000-0000","무료"
"12","예시시설 012","박물관","서울특별시 성동구 (예시 주소)","성동구","37.581824","127.026442","02-0000-0000","무료"
"13","예시시설 013","박물관","서울특별시 성동구 (예시 주소)","성동구","37.557336","127.023088","02-0000-0000","무료"
"14","예시시설 014","박물관","서울특별시 성동구 (예시 주소)","성동구","37.565515","127.045646","02-0000-0000","무료"
"15","예시시설 015","미술관","서울특별시 성동구 (예시 주소)","성동구","37.544685","127.033148","02-0000-0000","무료"
"16","예시시설 016","문화원","서울특별시 성동구 (예시 주소)","성동구","37.577632","127.017982","02-0000-0000","무료"
"17","예시시설 017","문화원","서울특별시 성동구 (예시 주소)","성동구","37.553874","127.036826","02-0000-0000","무료"
"18","예시시설 018","생활문화센터","서울특별시 성동구 (예시 주소)","성동구","37.559174","127.044688","02-0000-0000","무료"
"19","예시시설 019","공연장","서울특별시 성동구 (예시 주소)","성동구","37.570893","127.055754","02-0000-0000","무료"
"20","예시시설 020","생활문화센터","서울특별시 광진구 (예시 주소)","광진구","37.526388","127.084395","02-0000-0000","유료"
"21","예시시설 021","도서관","서울특별시 광진구 (예시 주소)","광진구","37.521937","127.098593","02-0000-0000","무료"
"22","예시시설 022","미술관","서울특별시 광진구 (예시 주소)","광진구","37.532885","127.078852","02-0000-0000","유료"
"23","예시시설 023","미술관","서울특별시 광진구 (예시 주소)","광진구","37.541337","127.074991","02-0000-0000","유료"
"24","예시시설 024","공연장","서울특별시 광진구 (예시 주소)","광진구","37.511683","127.08644","02-0000-0000","유료"
"25","예시시설 025","도서관","서울특별시 광진구 (예시 주소)","광진구","37.540715","127.072335","02-0000-0000","무료"
"26","예시시설 026","박물관","서울특별시 광진구 (예시 주소)","광진구","37.553852","127.085741","02-0000-0000","무료"
"27","예시시설 027","문화원","서울특별시 동대문구 (예시 주소)","동대문구","37.576658","127.045176","02-0000-0000","무료"
"28","예시시설 028","문화원","서울특별시 동대문구 (예시 주소)","동대문구","37.594961","127.023955","02-0000-0000","유료"
