세그먼트구분,세그먼트,건수,평균처리일수,평균만족도,만족도응답수,재민원건수,재민원율(%)
민원유형,쓰레기 무단투기,155,8.1,3.94,82,27,17.4
민원유형,불법주정차,107,7.2,3.96,51,7,6.5
민원유형,소음,85,6.8,4.17,48,7,8.2
민원유형,도로파손,76,7.0,4.27,48,10,13.2
민원유형,가로등 고장,68,7.4,4.03,30,11,16.2
민원유형,복지 상담,67,5.2,4.22,37,8,11.9
민원유형,건축 인허가,66,14.8,3.07,42,9,13.6
민원유형,악취,50,8.2,3.59,32,7,14.0
민원유형,공원 관리,47,7.3,3.91,22,8,17.0
민원유형,기타,43,7.5,3.92,24,8,18.6
행정동,가온동,143,12.2,3.39,76,21,14.7
행정동,새벽동,116,6.8,4.02,66,11,9.5
행정동,바다동,111,7.4,4.0,62,17,15.3
행정동,마루동,103,6.5,4.07,54,16,15.5
행정동,나래동,100,7.6,4.06,53,12,12.0
행정동,다솜동,96,6.9,3.88,51,11,11.5
행정동,라온동,95,6.4,4.2,54,14,14.7
접수채널,국민신문고,256,8.3,3.9,141,33,12.9
접수채널,전화,195,8.0,3.74,113,31,15.9
접수채널,앱,144,7.4,4.0,80,21,14.6
접수채널,홈페이지,91,7.7,4.16,38,9,9.9
접수채널,방문,78,7.9,4.09,44,8,10.3
연령대,40대,198,8.1,3.95,112,33,16.7
연령대,30대,173,7.8,4.07,98,27,15.6
연령대,50대,166,8.1,3.8,86,19,11.4
연령대,60대 이상,139,7.7,3.78,74,21,15.1
연령대,20대 이하,88,8.1,3.98,46,2,2.3
부서,도로교통과,251,7.2,4.09,129,28,11.2
부서,환경관리과,182,7.3,3.93,102,22,12.1
부서,청소행정과,155,8.1,3.94,82,27,17.4
부서,복지정책과,67,5.2,4.22,37,8,11.9
부서,건축과,66,14.8,3.07,42,9,13.6
부서,주민생활지원과,43,7.5,3.92,24,8,18.6
처리상태,완료,678,7.9,3.92,416,102,15.0
처리상태,처리중,44,,,0,0,0.0
처리상태,보류,42,,,0,0,0.0
민원유형×행정동,쓰레기 무단투기 / 가온동,48,11.5,3.61,28,12,25.0
민원유형×행정동,쓰레기 무단투기 / 마루동,20,7.0,3.73,11,6,30.0
민원유형×행정동,쓰레기 무단투기 / 다솜동,20,5.9,3.88,8,3,15.0
민원유형×행정동,소음 / 바다동,19,6.2,4.23,13,4,21.1
민원유형×행정동,쓰레기 무단투기 / 라온동,19,7.1,4.62,8,3,15.8
민원유형×행정동,쓰레기 무단투기 / 나래동,19,7.6,4.0,8,3,15.8
민원유형×행정동,불법주정차 / 마루동,18,6.2,4.11,9,0,0.0
민원유형×행정동,불법주정차 / 가온동,17,11.9,3.22,9,2,11.8
민원유형×행정동,복지 상담 / 새벽동,17,4.5,4.71,7,2,11.8
민원유형×행정동,쓰레기 무단투기 / 새벽동,16,5.3,4.17,12,0,0.0
민원유형×행정동,불법주정차 / 나래동,16,4.2,4.83,6,1,6.2
민원유형×행정동,불법주정차 / 바다동,16,7.5,3.62,8,2,12.5
민원유형×행정동,불법주정차 / 새벽동,16,7.2,4.0,6,0,0.0
민원유형×행정동,건축 인허가 / 나래동,14,17.4,2.71,7,2,14.3
민원유형×행정동,도로파손 / 새벽동,14,7.1,3.9,10,1,7.1
민원유형×행정동,도로파손 / 라온동,14,4.8,4.7,10,2,14.3
민원유형×행정동,쓰레기 무단투기 / 바다동,13,5.5,4.43,7,0,0.0
민원유형×행정동,소음 / 새벽동,13,5.8,4.17,6,1,7.7
민원유형×행정동,가로등 고장 / 가온동,13,10.5,4.0,4,0,0.0
민원유형×행정동,불법주정차 / 라온동,13,6.1,4.11,9,1,7.7
민원유형×행정동,건축 인허가 / 가온동,13,17.9,2.75,8,1,7.7
민원유형×행정동,소음 / 나래동,12,7.3,4.5,6,1,8.3
민원유형×행정동,소음 / 가온동,12,9.4,3.5,4,0,0.0
