연번,관리기관명,소재지도로명주소,행정동,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,WGS84위도,WGS84경도,데이터기준일자,제공기관명
1,한빛구청,세종특별자치시 한빛구 가온동 27로 89,가온동,주정차단속,1,41,주차장,30,2015-05,37.554371,127.052412,2026-08-31,한빛구청
2,한빛구청,세종특별자치시 한빛구 가온동 5로 2,가온동,재난재해,4,41,이면도로,30,2014-08,37.550723,127.048817,2026-08-31,한빛구청
3,한빛구청,세종특별자치시 한빛구 가온동 21로 90,가온동,교통단속,4,41,이면도로,30,2016-03,37.544261,127.049606,2026-08-31,한빛구청
4,한빛구청,세종특별자치시 한빛구 가온동 38로 48,가온동,교통단속,1,130,공원,30,2015-07,37.552722,127.050436,2026-08-31,한빛구청
5,한빛구청,세종특별자치시 한빛구 가온동 37로 89,가온동,교통단속,1,800,주차장,30,2019-08,37.547694,127.047178,2026-08-31,한빛구청
6,한빛구청,세종특별자치시 한빛구 가온동 14로 33,가온동,생활방범,2,400,주차장,30,2020-10,37.555049,127.047267,2026-08-31,한빛구청
7,한빛구청,세종특별자치시 한빛구 가온동 11로 9,가온동,주정차단속,1,200,주차장,30,2023-05,37.549907,127.049442,2026-08-31,한빛구청
8,한빛구청,세종특별자치시 한빛구 가온동 25로 16,가온동,교통단속,1,800,공원,30,2020-04,37.559156,127.048213,2026-08-31,한빛구청
9,한빛구청,세종특별자치시 한빛구 가온동 37로 75,가온동,쓰레기단속,1,130,주차장,30,2014-05,37.552883,127.048486,2026-08-31,한빛구청
10,한빛구청,세종특별자치시 한빛구 가온동 14로 88,가온동,교통단속,2,200,교차로,30,2025-06,37.549417,127.048869,2026-08-31,한빛구청
11,한빛구청,세종특별자치시 한빛구 가온동 24로 73,가온동,주정차단속,1,200,교차로,30,2023-09,37.555575,127.050927,2026-08-31,한빛구청
12,한빛구청,세종특별자치시 한빛구 가온동 1로 26,가온동,교통단속,1,800,교차로,30,2023-06,37.550336,127.043508,2026-08-31,한빛구청
13,한빛구청,세종특별자치시 한빛구 가온동 27로 38,가온동,교통단속,1,41,도로,30,2016-03,37.54986,127.048683,2026-08-31,한빛구청
14,한빛구청,세종특별자치시 한빛구 가온동 2로 72,가온동,교통단속,1,400,이면도로,30,2021-08,37.555473,127.051227,2026-08-31,한빛구청
15,한빛구청,세종특별자치시 한빛구 가온동 8로 35,가온동,주정차단속,2,41,공원,30,2014-02,37.551075,127.048642,2026-08-31,한빛구청
16,한빛구청,세종특별자치시 한빛구 가온동 36로 10,가온동,주정차단속,4,41,교차로,30,2016-05,37.5556,127.045842,2026-08-31,한빛구청
17,한빛구청,세종특별자치시 한빛구 가온동 40로 66,가온동,주정차단속,4,400,통학로,30,2021-04,37.552284,127.048576,2026-08-31,한빛구청
18,한빛구청,세종특별자치시 한빛구 가온동 31로 9,가온동,교통단속,1,200,교차로,30,2024-10,37.55015,127.052904,2026-08-31,한빛구청
19,한빛구청,세종특별자치시 한빛구 가온동 4로 71,가온동,교통단속,1,200,이면도로,30,2023-04,37.549915,127.052281,2026-08-31,한빛구청
20,한빛구청,세종특별자치시 한빛구 가온동 31로 72,가온동,교통단속,1,200,통학로,30,2023-04,37.552456,127.046937,2026-08-31,한빛구청
21,한빛구청,세종특별자치시 한빛구 가온동 35로 82,가온동,주정차단속,2,400,통학로,30,2019-04,37.551221,127.045139,2026-08-31,한빛구청
22,한빛구청,세종특별자치시 한빛구 가온동 33로 12,가온동,주정차단속,1,130,도로,30,2016-03,37.552978,127.049635,2026-08-31,한빛구청
23,한빛구청,세종특별자치시 한빛구 가온동 27로 44,가온동,주정차단속,1,800,교차로,30,2025-05,37.555879,127.048319,2026-08-31,한빛구청
24,한빛구청,세종특별자치시 한빛구 가온동 1로 87,가온동,재난재해,1,41,통학로,30,2016-07,37.550056,127.04672,2026-08-31,한빛구청
25,한빛구청,세종특별자치시 한빛구 가온동 22로 3,가온동,주정차단속,1,400,교차로,30,2021-01,37.550693,127.045664,2026-08-31,한빛구청
26,한빛구청,세종특별자치시 한빛구 가온동 32로 66,가온동,교통단속,4,41,통학로,30,2015-12,37.554741,127.047186,2026-08-31,한빛구청
27,한빛구청,세종특별자치시 한빛구 가온동 4로 90,가온동,생활방범,2,41,통학로,30,2015-05,37.555569,127.045303,2026-08-31,한빛구청
28,한빛구청,세종특별자치시 한빛구 가온동 22로 85,가온동,어린이보호,1,41,주차장,30,2015-05,37.552718,127.049544,2026-08-31,한빛구청
29,한빛구청,세종특별자치시 한빛구 가온동 32로 12,가온동,주정차단속,2,200,도로,30,2020-12,37.552437,127.052076,2026-08-31,한빛구청
30,한빛구청,세종특별자치시 한빛구 가온동 33로 23,가온동,생활방범,2,800,공원,30,2024-10,37.552269,127.047838,2026-08-31,한빛구청
31,한빛구청,세종특별자치시 한빛구 가온동 23로 22,가온동,주정차단속,4,41,이면도로,30,2015-05,37.552532,127.047577,2026-08-31,한빛구청
32,한빛구청,세종특별자치시 한빛구 가온동 16로 5,가온동,주정차단속,1,130,도로,30,2014-05,37.55043,127.051226,2026-08-31,한빛구청
33,한빛구청,세종특별자치시 한빛구 가온동 10로 63,가온동,어린이보호,1,41,교차로,30,2016-07,37.552049,127.046191,2026-08-31,한빛구청
34,한빛구청,세종특별자치시 한빛구 가온동 12로 6,가온동,교통단속,2,200,통학로,30,2025-01,37.557108,127.051539,2026-08-31,한빛구청
35,한빛구청,세종특별자치시 한빛구 가온동 18로 48,가온동,교통단속,1,200,도로,30,2021-02,37.545367,127.045234,2026-08-31,한빛구청
36,한빛구청,세종특별자치시 한빛구 가온동 22로 26,가온동,교통단속,1,41,공원,30,2015-01,37.550605,127.044707,2026-08-31,한빛구청
37,한빛구청,세종특별자치시 한빛구 가온동 39로 77,가온동,재난재해,4,41,주차장,30,2014-09,37.553016,127.049319,2026-08-31,한빛구청
38,한빛구청,세종특별자치시 한빛구 가온동 39로 34,가온동,생활방범,1,200,교차로,30,2019-08,37.552267,127.053717,2026-08-31,한빛구청
39,한빛구청,세종특별자치시 한빛구 가온동 26로 5,가온동,교통단속,1,41,주차장,30,2015-01,37.552036,127.047852,2026-08-31,한빛구청
40,한빛구청,세종특별자치시 한빛구 가온동 19로 65,가온동,주정차단속,2,41,주차장,30,2015-10,37.54857,127.048229,2026-08-31,한빛구청
41,한빛구청,세종특별자치시 한빛구 가온동 37로 53,가온동,교통단속,1,130,공원,30,2014-06,37.55311,127.047018,2026-08-31,한빛구청
42,한빛구청,세종특별자치시 한빛구 가온동 24로 83,가온동,주정차단속,2,200,주차장,30,2020-07,37.554242,127.04643,2026-08-31,한빛구청
43,한빛구청,세종특별자치시 한빛구 가온동 25로 62,가온동,교통단속,4,400,이면도로,30,2024-10,37.554051,127.046023,2026-08-31,한빛구청
44,한빛구청,세종특별자치시 한빛구 가온동 6로 53,가온동,주정차단속,1,200,도로,30,2020-09,37.549656,127.045343,2026-08-31,한빛구청
45,한빛구청,세종특별자치시 한빛구 가온동 28로 2,가온동,교통단속,1,41,공원,30,2015-10,37.554578,127.046283,2026-08-31,한빛구청
46,한빛구청,세종특별자치시 한빛구 가온동 3로 14,가온동,어린이보호,1,41,공원,30,2016-07,37.553218,127.052727,2026-08-31,한빛구청
47,한빛구청,세종특별자치시 한빛구 나래동 6로 9,나래동,교통단속,1,200,도로,30,2020-09,37.558331,127.056696,2026-08-31,한빛구청
48,한빛구청,세종특별자치시 한빛구 나래동 19로 29,나래동,어린이보호,1,200,도로,30,2023-07,37.55223,127.054159,2026-08-31,한빛구청
49,한빛구청,세종특별자치시 한빛구 나래동 13로 46,나래동,생활방범,1,200,주차장,30,2021-08,37.557623,127.058297,2026-08-31,한빛구청
