연번,시설명,시설종류,소재지도로명주소,행정동,위도,경도,관리기관명,보호구역지정연도,보호구역내CCTV설치대수,데이터기준일자,제공기관명
1,한빛제2초등학교,초등학교,세종특별자치시 한빛구 가온동 26로 36,가온동,37.553392,127.046408,한빛구청,2015,0,2026-08-31,한빛구청
2,한빛제3어린이집,어린이집,세종특별자치시 한빛구 가온동 9로 2,가온동,37.552296,127.045795,한빛구청,2018,0,2026-08-31,한빛구청
3,한빛새어린이집,어린이집,세종특별자치시 한빛구 가온동 34로 35,가온동,37.552365,127.050216,한빛구청,2012,0,2026-08-31,한빛구청
4,한빛한학원가,학원가,세종특별자치시 한빛구 가온동 9로 12,가온동,37.545971,127.055322,한빛구청,2019,0,2026-08-31,한빛구청
5,한빛달어린이집,어린이집,세종특별자치시 한빛구 가온동 4로 26,가온동,37.550971,127.045313,한빛구청,2018,0,2026-08-31,한빛구청
6,한빛별초등학교,초등학교,세종특별자치시 한빛구 가온동 37로 83,가온동,37.554045,127.047338,한빛구청,2019,0,2026-08-31,한빛구청
7,한빛학원가,학원가,세종특별자치시 한빛구 나래동 6로 16,나래동,37.558527,127.053439,한빛구청,2019,0,2026-08-31,한빛구청
8,한빛제2초등학교,초등학교,세종특별자치시 한빛구 나래동 24로 7,나래동,37.555344,127.057636,한빛구청,2021,0,2026-08-31,한빛구청
9,한빛제3유치원,유치원,세종특별자치시 한빛구 나래동 9로 56,나래동,37.557935,127.056578,한빛구청,2015,0,2026-08-31,한빛구청
10,한빛새초등학교,초등학교,세종특별자치시 한빛구 나래동 18로 70,나래동,37.556845,127.058852,한빛구청,2021,0,2026-08-31,한빛구청
11,한빛한초등학교,초등학교,세종특별자치시 한빛구 나래동 12로 28,나래동,37.554582,127.057961,한빛구청,2018,0,2026-08-31,한빛구청
12,한빛달유치원,유치원,세종특별자치시 한빛구 다솜동 19로 72,다솜동,37.5458,127.0598,한빛구청,2021,0,2026-08-31,한빛구청
13,한빛별초등학교,초등학교,세종특별자치시 한빛구 다솜동 19로 50,다솜동,37.5469,127.0613,한빛구청,2023,0,2026-08-31,한빛구청
14,한빛어린이집,어린이집,세종특별자치시 한빛구 다솜동 36로 78,다솜동,37.5455,127.0589,한빛구청,2015,0,2026-08-31,한빛구청
15,한빛제2어린이집,어린이집,세종특별자치시 한빛구 다솜동 9로 61,다솜동,37.545539,127.060751,한빛구청,2018,0,2026-08-31,한빛구청
16,한빛제3유치원,유치원,세종특별자치시 한빛구 다솜동 36로 46,다솜동,37.546771,127.055019,한빛구청,2015,0,2026-08-31,한빛구청
17,한빛새초등학교,초등학교,세종특별자치시 한빛구 다솜동 6로 60,다솜동,37.550027,127.060171,한빛구청,2021,0,2026-08-31,한빛구청
18,한빛한초등학교,초등학교,세종특별자치시 한빛구 라온동 4로 54,라온동,37.564318,127.042609,한빛구청,2015,0,2026-08-31,한빛구청
19,한빛달학원가,학원가,세종특별자치시 한빛구 라온동 16로 15,라온동,37.560996,127.040876,한빛구청,2018,0,2026-08-31,한빛구청
20,한빛별어린이집,어린이집,세종특별자치시 한빛구 라온동 37로 17,라온동,37.563661,127.043647,한빛구청,2018,0,2026-08-31,한빛구청
21,한빛초등학교,초등학교,세종특별자치시 한빛구 라온동 32로 1,라온동,37.562886,127.047713,한빛구청,2012,0,2026-08-31,한빛구청
22,한빛제2학원가,학원가,세종특별자치시 한빛구 라온동 23로 83,라온동,37.56103,127.039213,한빛구청,2018,0,2026-08-31,한빛구청
23,한빛제3어린이집,어린이집,세종특별자치시 한빛구 라온동 3로 88,라온동,37.561917,127.044438,한빛구청,2015,0,2026-08-31,한빛구청
24,한빛새어린이집,어린이집,세종특별자치시 한빛구 마루동 23로 73,마루동,37.546473,127.036895,한빛구청,2019,0,2026-08-31,한빛구청
25,한빛한어린이집,어린이집,세종특별자치시 한빛구 마루동 9로 90,마루동,37.554999,127.03533,한빛구청,2021,0,2026-08-31,한빛구청
26,한빛달어린이집,어린이집,세종특별자치시 한빛구 바다동 8로 33,바다동,37.559151,127.064822,한빛구청,2019,0,2026-08-31,한빛구청
27,한빛별학원가,학원가,세종특별자치시 한빛구 바다동 8로 11,바다동,37.560136,127.068125,한빛구청,2023,0,2026-08-31,한빛구청
28,한빛학원가,학원가,세종특별자치시 한빛구 바다동 7로 56,바다동,37.557476,127.067105,한빛구청,2019,0,2026-08-31,한빛구청
29,한빛제2유치원,유치원,세종특별자치시 한빛구 바다동 40로 52,바다동,37.563647,127.072788,한빛구청,2019,0,2026-08-31,한빛구청
30,한빛제3유치원,유치원,세종특별자치시 한빛구 새벽동 25로 8,새벽동,37.539627,127.054275,한빛구청,2015,0,2026-08-31,한빛구청
31,한빛새학원가,학원가,세종특별자치시 한빛구 새벽동 19로 3,새벽동,37.547955,127.050791,한빛구청,2023,0,2026-08-31,한빛구청
32,한빛한유치원,유치원,세종특별자치시 한빛구 새벽동 30로 48,새벽동,37.54314,127.051196,한빛구청,2012,0,2026-08-31,한빛구청
